age,job,marital,education,key,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
33,admin.,single,tertiary,33admin.singletertiary,no,272,yes,no,cellular,1,sep,293,2,92,3,success,yes
29,admin.,married,secondary,29admin.marriedsecondary,no,6429,yes,yes,cellular,14,may,535,1,352,2,failure,no
62,retired,married,primary,62retiredmarriedprimary,no,1742,no,no,cellular,14,jun,167,2,98,6,other,yes
62,retired,married,primary,62retiredmarriedprimary,no,3738,no,no,telephone,10,aug,151,3,185,1,failure,no
40,blue-collar,married,secondary,40blue-collarmarriedsecondary,no,327,yes,no,cellular,12,may,474,2,357,1,failure,no
34,blue-collar,divorced,secondary,34blue-collardivorcedsecondary,no,1614,yes,no,cellular,15,may,228,2,297,1,other,no
32,technician,married,tertiary,32technicianmarriedtertiary,no,8023,no,no,cellular,17,aug,219,1,84,2,failure,no
40,technician,single,tertiary,40techniciansingletertiary,no,1646,yes,no,cellular,4,may,392,2,91,3,success,yes
40,blue-collar,single,secondary,40blue-collarsinglesecondary,no,169,yes,no,cellular,20,apr,214,1,346,1,failure,no
29,blue-collar,single,secondary,29blue-collarsinglesecondary,no,734,yes,yes,cellular,30,apr,259,1,296,1,other,yes
48,technician,divorced,secondary,48techniciandivorcedsecondary,no,168,yes,yes,cellular,15,may,100,2,361,1,other,no
24,management,single,tertiary,24managementsingletertiary,no,1506,no,no,cellular,12,jun,239,2,95,4,success,yes
32,technician,single,tertiary,32techniciansingletertiary,no,705,yes,no,cellular,25,may,414,2,35,4,failure,yes
36,technician,married,tertiary,36technicianmarriedtertiary,no,6,yes,no,cellular,27,jan,100,1,435,1,failure,no
30,management,single,tertiary,30managementsingletertiary,no,5359,no,no,cellular,19,aug,145,1,84,2,success,yes
30,services,married,tertiary,30servicesmarriedtertiary,no,6,yes,no,cellular,5,may,279,2,342,2,failure,no
41,admin.,single,secondary,41admin.singlesecondary,no,334,yes,no,cellular,13,may,14,4,331,22,other,no
46,entrepreneur,divorced,tertiary,46entrepreneurdivorcedtertiary,no,148,yes,no,cellular,18,may,61,3,350,5,other,no
79,retired,divorced,primary,79retireddivorcedprimary,no,336,no,no,cellular,6,oct,386,1,184,1,other,no
38,services,married,secondary,38servicesmarriedsecondary,no,8876,no,no,cellular,2,feb,280,1,75,1,failure,no
27,technician,single,tertiary,27techniciansingletertiary,no,11862,no,no,telephone,25,may,281,5,101,1,success,no
67,retired,divorced,secondary,67retireddivorcedsecondary,no,704,no,no,cellular,6,may,613,1,87,3,success,yes
30,management,married,tertiary,30managementmarriedtertiary,no,370,no,no,cellular,29,jan,250,1,246,1,other,no
60,unemployed,married,secondary,60unemployedmarriedsecondary,no,1047,no,no,cellular,27,may,173,3,279,4,success,yes
33,admin.,single,secondary,33admin.singlesecondary,no,422,yes,no,cellular,12,may,235,2,361,2,failure,no
56,services,married,secondary,56servicesmarriedsecondary,no,1989,no,no,cellular,3,aug,279,4,181,4,success,yes
31,technician,married,secondary,31technicianmarriedsecondary,no,180,no,no,cellular,26,may,222,1,70,2,success,no
35,management,married,tertiary,35managementmarriedtertiary,no,436,no,yes,cellular,28,jan,507,1,184,4,failure,no
24,student,single,secondary,24studentsinglesecondary,no,125,no,no,cellular,9,nov,263,1,90,1,failure,yes
37,management,divorced,secondary,37managementdivorcedsecondary,no,1448,yes,no,cellular,20,apr,196,2,283,2,failure,no
61,management,married,tertiary,61managementmarriedtertiary,no,477,yes,no,cellular,29,oct,377,1,520,1,other,yes
35,student,single,secondary,35studentsinglesecondary,no,188,yes,no,cellular,16,feb,75,3,200,5,failure,yes
78,retired,married,primary,78retiredmarriedprimary,no,680,no,no,telephone,24,may,838,1,89,9,failure,no
46,blue-collar,single,primary,46blue-collarsingleprimary,no,96,yes,no,cellular,16,apr,99,1,148,1,failure,no
31,management,single,tertiary,31managementsingletertiary,no,775,yes,no,cellular,4,may,99,2,14,3,failure,no
64,retired,married,secondary,64retiredmarriedsecondary,no,588,no,no,cellular,16,jul,574,1,179,3,success,yes
38,blue-collar,married,secondary,38blue-collarmarriedsecondary,no,1407,yes,no,cellular,14,may,169,3,174,7,failure,no
33,technician,married,tertiary,33technicianmarriedtertiary,no,1699,no,no,cellular,28,jan,202,1,83,3,success,yes
36,services,married,primary,36servicesmarriedprimary,no,413,yes,no,telephone,13,may,60,1,176,1,failure,no
30,technician,single,tertiary,30techniciansingletertiary,no,3086,yes,no,cellular,7,may,84,3,168,1,failure,no
43,blue-collar,divorced,secondary,43blue-collardivorcedsecondary,no,898,yes,no,cellular,11,may,405,1,174,3,failure,no
44,entrepreneur,married,secondary,44entrepreneurmarriedsecondary,no,320,yes,yes,cellular,5,feb,269,3,234,2,other,no
24,admin.,single,secondary,24admin.singlesecondary,no,290,yes,no,cellular,15,may,80,3,368,4,failure,no
40,services,single,secondary,40servicessinglesecondary,no,1547,yes,no,cellular,12,may,88,2,173,1,success,no
40,services,married,secondary,40servicesmarriedsecondary,no,1674,yes,yes,cellular,4,feb,144,1,274,2,other,no
55,self-employed,married,secondary,55self-employedmarriedsecondary,no,2408,no,no,telephone,9,apr,327,2,140,1,failure,no
33,technician,single,secondary,33techniciansinglesecondary,no,287,yes,no,cellular,14,may,97,1,358,8,failure,no
27,management,single,tertiary,27managementsingletertiary,no,592,no,no,cellular,7,sep,667,1,221,3,failure,no
39,management,married,tertiary,39managementmarriedtertiary,no,942,yes,no,cellular,13,may,564,2,265,4,other,no
48,management,married,tertiary,48managementmarriedtertiary,no,1147,no,no,cellular,5,aug,389,1,64,2,success,yes
36,technician,married,secondary,36technicianmarriedsecondary,no,432,yes,no,cellular,11,may,61,3,255,2,failure,no
58,management,married,tertiary,58managementmarriedtertiary,no,4152,yes,no,cellular,30,apr,750,2,164,4,other,yes
28,management,single,tertiary,28managementsingletertiary,no,385,no,yes,cellular,9,feb,79,4,193,7,failure,no
29,student,single,secondary,29studentsinglesecondary,no,808,no,no,cellular,29,jun,189,1,362,1,other,no
31,management,single,tertiary,31managementsingletertiary,no,2590,no,no,cellular,23,sep,103,2,484,2,other,no
57,management,divorced,tertiary,57managementdivorcedtertiary,no,2549,no,no,cellular,30,jan,456,3,197,2,failure,no
31,admin.,single,tertiary,31admin.singletertiary,no,383,no,yes,cellular,6,feb,119,1,214,1,failure,no
46,blue-collar,married,primary,46blue-collarmarriedprimary,no,2558,yes,no,telephone,20,nov,107,1,167,1,other,no
26,student,single,secondary,26studentsinglesecondary,no,620,no,no,cellular,22,may,223,1,94,1,success,yes
54,management,divorced,tertiary,54managementdivorcedtertiary,no,2152,no,no,cellular,17,may,226,3,186,7,other,no
24,student,single,secondary,24studentsinglesecondary,no,1234,no,no,cellular,21,jul,314,1,156,2,success,yes
62,retired,married,secondary,62retiredmarriedsecondary,no,569,no,no,cellular,4,feb,94,5,184,1,success,yes
46,management,single,secondary,46managementsinglesecondary,no,5993,no,no,cellular,25,mar,151,1,184,2,failure,no
39,management,single,tertiary,39managementsingletertiary,no,1515,yes,no,cellular,4,may,815,6,167,6,failure,yes
42,technician,married,tertiary,42technicianmarriedtertiary,no,725,yes,yes,telephone,3,feb,124,3,252,3,failure,no
34,technician,married,secondary,34technicianmarriedsecondary,no,133,no,no,cellular,15,nov,401,2,187,5,success,yes
32,services,divorced,secondary,32servicesdivorcedsecondary,no,5267,yes,no,cellular,21,nov,183,1,168,2,failure,no
66,housemaid,married,primary,66housemaidmarriedprimary,no,1230,no,no,cellular,16,jun,288,6,181,3,success,yes
34,unemployed,single,tertiary,34unemployedsingletertiary,no,1974,no,no,cellular,22,jul,355,1,342,3,success,yes
37,blue-collar,married,secondary,37blue-collarmarriedsecondary,no,3420,yes,no,cellular,12,may,77,1,301,2,failure,no
40,technician,single,secondary,40techniciansinglesecondary,no,556,yes,no,cellular,17,apr,234,1,323,1,failure,no
38,management,single,tertiary,38managementsingletertiary,no,3646,yes,no,cellular,12,may,1710,2,286,1,other,yes
56,management,single,tertiary,56managementsingletertiary,no,1092,yes,yes,cellular,17,nov,176,3,186,4,failure,no
31,technician,married,secondary,31technicianmarriedsecondary,no,671,no,no,cellular,2,feb,119,2,175,2,failure,no
37,admin.,married,secondary,37admin.marriedsecondary,no,1314,yes,no,cellular,22,may,74,1,14,9,failure,no
33,services,single,secondary,33servicessinglesecondary,no,152,yes,no,cellular,25,may,202,2,365,2,success,yes
31,blue-collar,married,primary,31blue-collarmarriedprimary,no,1127,yes,no,telephone,13,may,43,1,349,1,failure,no
55,admin.,divorced,secondary,55admin.divorcedsecondary,no,1693,no,no,cellular,10,aug,247,1,102,3,success,no
33,management,married,secondary,33managementmarriedsecondary,no,3935,yes,no,cellular,6,may,765,1,342,2,failure,yes
55,management,married,primary,55managementmarriedprimary,no,2587,no,no,cellular,4,sep,328,2,94,2,success,yes
60,retired,married,primary,60retiredmarriedprimary,no,174,yes,yes,cellular,2,feb,157,2,252,1,failure,no
53,entrepreneur,married,primary,53entrepreneurmarriedprimary,no,1034,yes,no,cellular,19,nov,854,2,170,3,other,no
47,admin.,married,secondary,47admin.marriedsecondary,no,368,no,no,cellular,21,may,403,1,87,6,success,yes
34,technician,divorced,secondary,34techniciandivorcedsecondary,no,7,yes,yes,cellular,21,nov,94,2,199,1,failure,no
38,blue-collar,divorced,secondary,38blue-collardivorcedsecondary,no,814,yes,no,cellular,21,nov,1166,1,155,3,other,no
33,management,single,tertiary,33managementsingletertiary,no,191,no,yes,cellular,3,feb,678,4,209,1,failure,no
37,management,single,tertiary,37managementsingletertiary,no,4543,yes,no,cellular,8,may,137,1,340,5,failure,no
82,retired,married,primary,82retiredmarriedprimary,no,243,no,no,cellular,26,jul,275,1,180,2,success,yes
49,blue-collar,married,secondary,49blue-collarmarriedsecondary,no,1946,no,no,cellular,19,oct,192,1,95,1,success,yes
34,admin.,divorced,secondary,34admin.divorcedsecondary,no,479,yes,no,cellular,12,may,515,1,350,5,failure,yes
43,blue-collar,single,secondary,43blue-collarsinglesecondary,no,1306,yes,no,cellular,16,apr,243,1,336,1,failure,no
35,management,married,tertiary,35managementmarriedtertiary,no,62,no,no,cellular,8,feb,469,2,185,2,failure,yes
31,technician,single,secondary,31techniciansinglesecondary,no,863,yes,no,cellular,25,may,166,3,111,6,failure,no
32,admin.,married,secondary,32admin.marriedsecondary,no,200,no,no,cellular,1,sep,729,1,29,3,failure,yes
60,admin.,married,secondary,60admin.marriedsecondary,no,3735,no,no,cellular,22,dec,190,1,188,9,success,yes
36,blue-collar,single,secondary,36blue-collarsinglesecondary,no,767,yes,no,cellular,5,may,62,1,355,2,other,no
28,management,single,tertiary,28managementsingletertiary,no,390,no,no,cellular,29,sep,845,1,232,4,success,yes
35,technician,married,secondary,35technicianmarriedsecondary,no,1368,no,no,cellular,13,aug,159,2,78,3,success,no
60,admin.,divorced,secondary,60admin.divorcedsecondary,no,12039,no,no,telephone,12,oct,261,1,187,1,success,yes
62,retired,married,secondary,62retiredmarriedsecondary,no,1495,no,no,cellular,17,aug,606,1,196,1,success,yes
34,entrepreneur,single,secondary,34entrepreneursinglesecondary,no,339,yes,no,cellular,6,may,110,2,359,2,failure,no
32,admin.,single,secondary,32admin.singlesecondary,no,131,yes,no,cellular,21,dec,322,1,189,1,success,yes
29,technician,married,tertiary,29technicianmarriedtertiary,no,676,no,no,cellular,9,mar,93,2,224,4,failure,no
32,technician,married,tertiary,32technicianmarriedtertiary,no,636,yes,no,cellular,28,aug,370,1,116,4,success,yes
34,services,married,secondary,34servicesmarriedsecondary,no,2021,yes,yes,cellular,17,apr,51,6,148,8,other,no
59,unemployed,married,secondary,59unemployedmarriedsecondary,no,957,no,no,cellular,8,mar,301,1,89,2,success,yes
60,retired,married,secondary,60retiredmarriedsecondary,no,1853,no,no,cellular,10,feb,234,1,183,1,success,yes
31,management,married,tertiary,31managementmarriedtertiary,no,357,yes,no,cellular,13,apr,201,2,228,5,failure,no
60,services,married,tertiary,60servicesmarriedtertiary,no,4256,yes,no,cellular,16,aug,239,3,761,1,other,yes
34,admin.,married,secondary,34admin.marriedsecondary,no,471,yes,no,cellular,8,may,146,3,340,2,failure,no
36,management,married,tertiary,36managementmarriedtertiary,no,1133,yes,no,cellular,4,aug,293,1,181,2,other,yes
31,management,single,tertiary,31managementsingletertiary,no,147,no,no,cellular,9,mar,469,1,181,2,success,yes
37,services,single,secondary,37servicessinglesecondary,no,248,yes,no,cellular,8,apr,417,2,57,3,failure,no
43,management,divorced,tertiary,43managementdivorcedtertiary,no,580,yes,no,cellular,11,may,1514,1,284,2,failure,yes
46,admin.,divorced,secondary,46admin.divorcedsecondary,no,2087,no,no,cellular,1,jun,111,1,119,4,other,no
48,management,divorced,tertiary,48managementdivorcedtertiary,no,541,yes,no,cellular,14,may,72,1,363,2,other,no
32,management,married,tertiary,32managementmarriedtertiary,no,272,yes,no,cellular,3,feb,188,4,209,1,failure,no
34,blue-collar,married,primary,34blue-collarmarriedprimary,no,392,yes,no,cellular,18,may,180,3,360,1,failure,no
31,management,married,tertiary,31managementmarriedtertiary,no,6138,no,no,cellular,16,oct,154,2,119,5,failure,yes
30,unemployed,single,secondary,30unemployedsinglesecondary,no,2424,no,no,cellular,12,nov,110,1,279,1,failure,yes
27,admin.,married,secondary,27admin.marriedsecondary,no,1417,yes,no,cellular,15,may,143,2,343,3,failure,no
37,blue-collar,married,secondary,37blue-collarmarriedsecondary,no,982,yes,no,cellular,17,apr,127,1,282,2,failure,no
55,blue-collar,divorced,secondary,55blue-collardivorcedsecondary,no,462,yes,no,cellular,20,apr,157,1,332,3,failure,no
30,services,married,primary,30servicesmarriedprimary,no,1015,yes,no,cellular,20,nov,24,1,113,8,failure,no
60,management,married,tertiary,60managementmarriedtertiary,no,3401,no,no,cellular,30,oct,294,1,270,1,failure,yes
38,technician,married,secondary,38technicianmarriedsecondary,no,318,no,no,cellular,4,feb,383,1,181,5,failure,yes
44,technician,married,secondary,44technicianmarriedsecondary,no,7876,yes,no,cellular,20,nov,212,1,101,2,failure,no
35,admin.,married,secondary,35admin.marriedsecondary,no,5250,yes,no,cellular,15,apr,343,2,146,1,failure,no
41,admin.,divorced,secondary,41admin.divorcedsecondary,no,6046,yes,yes,telephone,15,mar,300,6,182,2,success,yes
31,management,single,tertiary,31managementsingletertiary,no,307,no,no,cellular,8,jul,361,1,229,2,failure,yes
25,student,single,secondary,25studentsinglesecondary,no,154,no,no,cellular,3,mar,141,1,180,2,failure,yes
33,management,divorced,tertiary,33managementdivorcedtertiary,no,312,yes,yes,cellular,13,may,23,1,359,3,failure,no
38,management,divorced,tertiary,38managementdivorcedtertiary,no,554,no,no,cellular,21,nov,45,1,101,4,failure,no
31,management,married,tertiary,31managementmarriedtertiary,no,302,yes,yes,cellular,4,feb,181,1,257,1,failure,no
51,blue-collar,married,primary,51blue-collarmarriedprimary,no,1203,yes,yes,telephone,13,may,25,4,350,7,failure,no
