,age,job,marital,education,key,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,33,admin.,0,2,33admin.singletertiary,no,272,1,0,1,1,sep,293,2,92,3,1,1
1,29,admin.,1,1,29admin.marriedsecondary,no,6429,1,1,1,14,may,535,1,352,2,0,0
2,62,retired,1,0,62retiredmarriedprimary,no,1742,0,0,1,14,jun,167,2,98,6,2,1
3,62,retired,1,0,62retiredmarriedprimary,no,3738,0,0,0,10,aug,151,3,185,1,0,0
4,40,blue-collar,1,1,40blue-collarmarriedsecondary,no,327,1,0,1,12,may,474,2,357,1,0,0
5,34,blue-collar,2,1,34blue-collardivorcedsecondary,no,1614,1,0,1,15,may,228,2,297,1,2,0
7,40,technician,0,2,40techniciansingletertiary,no,1646,1,0,1,4,may,392,2,91,3,1,1
8,40,blue-collar,0,1,40blue-collarsinglesecondary,no,169,1,0,1,20,apr,214,1,346,1,0,0
9,29,blue-collar,0,1,29blue-collarsinglesecondary,no,734,1,1,1,30,apr,259,1,296,1,2,1
10,48,technician,2,1,48techniciandivorcedsecondary,no,168,1,1,1,15,may,100,2,361,1,2,0
11,24,management,0,2,24managementsingletertiary,no,1506,0,0,1,12,jun,239,2,95,4,1,1
12,32,technician,0,2,32techniciansingletertiary,no,705,1,0,1,25,may,414,2,35,4,0,1
13,36,technician,1,2,36technicianmarriedtertiary,no,6,1,0,1,27,jan,100,1,435,1,0,0
14,30,management,0,2,30managementsingletertiary,no,5359,0,0,1,19,aug,145,1,84,2,1,1
15,30,services,1,2,30servicesmarriedtertiary,no,6,1,0,1,5,may,279,2,342,2,0,0
16,41,admin.,0,1,41admin.singlesecondary,no,334,1,0,1,13,may,14,4,331,22,2,0
17,46,entrepreneur,2,2,46entrepreneurdivorcedtertiary,no,148,1,0,1,18,may,61,3,350,5,2,0
18,79,retired,2,0,79retireddivorcedprimary,no,336,0,0,1,6,oct,386,1,184,1,2,0
21,67,retired,2,1,67retireddivorcedsecondary,no,704,0,0,1,6,may,613,1,87,3,1,1
22,30,management,1,2,30managementmarriedtertiary,no,370,0,0,1,29,jan,250,1,246,1,2,0
23,60,unemployed,1,1,60unemployedmarriedsecondary,no,1047,0,0,1,27,may,173,3,279,4,1,1
24,33,admin.,0,1,33admin.singlesecondary,no,422,1,0,1,12,may,235,2,361,2,0,0
25,56,services,1,1,56servicesmarriedsecondary,no,1989,0,0,1,3,aug,279,4,181,4,1,1
26,31,technician,1,1,31technicianmarriedsecondary,no,180,0,0,1,26,may,222,1,70,2,1,0
27,35,management,1,2,35managementmarriedtertiary,no,436,0,1,1,28,jan,507,1,184,4,0,0
28,24,student,0,1,24studentsinglesecondary,no,125,0,0,1,9,nov,263,1,90,1,0,1
29,37,management,2,1,37managementdivorcedsecondary,no,1448,1,0,1,20,apr,196,2,283,2,0,0
30,61,management,1,2,61managementmarriedtertiary,no,477,1,0,1,29,oct,377,1,520,1,2,1
31,35,student,0,1,35studentsinglesecondary,no,188,1,0,1,16,feb,75,3,200,5,0,1
32,78,retired,1,0,78retiredmarriedprimary,no,680,0,0,0,24,may,838,1,89,9,0,0
33,46,blue-collar,0,0,46blue-collarsingleprimary,no,96,1,0,1,16,apr,99,1,148,1,0,0
34,31,management,0,2,31managementsingletertiary,no,775,1,0,1,4,may,99,2,14,3,0,0
35,64,retired,1,1,64retiredmarriedsecondary,no,588,0,0,1,16,jul,574,1,179,3,1,1
36,38,blue-collar,1,1,38blue-collarmarriedsecondary,no,1407,1,0,1,14,may,169,3,174,7,0,0
37,33,technician,1,2,33technicianmarriedtertiary,no,1699,0,0,1,28,jan,202,1,83,3,1,1
38,36,services,1,0,36servicesmarriedprimary,no,413,1,0,0,13,may,60,1,176,1,0,0
39,30,technician,0,2,30techniciansingletertiary,no,3086,1,0,1,7,may,84,3,168,1,0,0
40,43,blue-collar,2,1,43blue-collardivorcedsecondary,no,898,1,0,1,11,may,405,1,174,3,0,0
41,44,entrepreneur,1,1,44entrepreneurmarriedsecondary,no,320,1,1,1,5,feb,269,3,234,2,2,0
42,24,admin.,0,1,24admin.singlesecondary,no,290,1,0,1,15,may,80,3,368,4,0,0
43,40,services,0,1,40servicessinglesecondary,no,1547,1,0,1,12,may,88,2,173,1,1,0
44,40,services,1,1,40servicesmarriedsecondary,no,1674,1,1,1,4,feb,144,1,274,2,2,0
45,55,self-employed,1,1,55self-employedmarriedsecondary,no,2408,0,0,0,9,apr,327,2,140,1,0,0
46,33,technician,0,1,33techniciansinglesecondary,no,287,1,0,1,14,may,97,1,358,8,0,0
47,27,management,0,2,27managementsingletertiary,no,592,0,0,1,7,sep,667,1,221,3,0,0
48,39,management,1,2,39managementmarriedtertiary,no,942,1,0,1,13,may,564,2,265,4,2,0
49,48,management,1,2,48managementmarriedtertiary,no,1147,0,0,1,5,aug,389,1,64,2,1,1
50,36,technician,1,1,36technicianmarriedsecondary,no,432,1,0,1,11,may,61,3,255,2,0,0
51,58,management,1,2,58managementmarriedtertiary,no,4152,1,0,1,30,apr,750,2,164,4,2,1
52,28,management,0,2,28managementsingletertiary,no,385,0,1,1,9,feb,79,4,193,7,0,0
53,29,student,0,1,29studentsinglesecondary,no,808,0,0,1,29,jun,189,1,362,1,2,0
54,31,management,0,2,31managementsingletertiary,no,2590,0,0,1,23,sep,103,2,484,2,2,0
55,57,management,2,2,57managementdivorcedtertiary,no,2549,0,0,1,30,jan,456,3,197,2,0,0
56,31,admin.,0,2,31admin.singletertiary,no,383,0,1,1,6,feb,119,1,214,1,0,0
57,46,blue-collar,1,0,46blue-collarmarriedprimary,no,2558,1,0,0,20,nov,107,1,167,1,2,0
58,26,student,0,1,26studentsinglesecondary,no,620,0,0,1,22,may,223,1,94,1,1,1
